epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
50,1.7982259,0.06427357,0.706625,0.07984027,2.1357405,0.060244035,0.3155,0.081482746,-1,-1,-1,-1
51,1.7997185,0.065461986,0.70728123,0.07991885,2.1394906,0.063094586,0.305875,0.08431164,-1,-1,-1,-1
52,1.8000491,0.064160116,0.70771873,0.0791211,2.137445,0.062819175,0.317125,0.08224212,-1,-1,-1,-1
53,1.7971904,0.063479275,0.7097812,0.07967605,2.1404784,0.05840652,0.307875,0.078200564,-1,-1,-1,-1
54,1.7994448,0.065734,0.70790625,0.08021328,2.1376417,0.060837906,0.313,0.081775606,-1,-1,-1,-1
55,1.7986277,0.0662307,0.7076875,0.08273099,2.1397727,0.05959867,0.313875,0.079611264,-1,-1,-1,-1
56,1.7982069,0.06416436,0.70875,0.081079155,2.1344001,0.06481304,0.3155,0.081817634,-1,-1,-1,-1
57,1.7989155,0.063929066,0.70703125,0.08019979,2.1429021,0.06320623,0.308625,0.0849898,-1,-1,-1,-1
58,1.7940434,0.065188736,0.71234375,0.07948181,2.1376977,0.064748846,0.312625,0.086082175,-1,-1,-1,-1
59,1.793946,0.06506591,0.7131562,0.08183061,2.1406207,0.06024088,0.311875,0.08255916,-1,-1,-1,-1
60,1.7941519,0.06424364,0.71375,0.081192285,2.1413414,0.06322857,0.31175,0.08333517,-1,-1,-1,-1
61,1.7986916,0.06481806,0.7082813,0.08029958,2.13705,0.060427357,0.3185,0.08241435,-1,-1,-1,-1
62,1.796314,0.06362218,0.71103126,0.07972114,2.1343224,0.06260968,0.318,0.0864729,-1,-1,-1,-1
63,1.7967077,0.064582445,0.7097812,0.080006294,2.1346674,0.053760074,0.318,0.073267914,-1,-1,-1,-1
64,1.7970794,0.06419317,0.70925,0.08080155,2.141487,0.059492502,0.3095,0.07740155,-1,-1,-1,-1
65,1.8003055,0.06519213,0.708625,0.08064089,2.1409726,0.061078843,0.31325,0.079102784,-1,-1,-1,-1
66,1.7997975,0.062965795,0.70484376,0.07810609,2.1360414,0.06548925,0.319375,0.08796528,-1,-1,-1,-1
67,1.798943,0.06513534,0.7078125,0.08030399,2.1350977,0.062488902,0.318,0.08501507,-1,-1,-1,-1
68,1.7971623,0.06440015,0.71040624,0.07952318,2.1420684,0.060116515,0.310125,0.082195364,-1,-1,-1,-1
69,1.797688,0.06363523,0.710125,0.08202648,2.13837,0.061081085,0.312625,0.081177756,-1,-1,-1,-1
70,1.7964797,0.064550996,0.710375,0.07921845,2.1412673,0.06166982,0.3095,0.07830469,-1,-1,-1,-1
71,1.8013875,0.0658712,0.7048125,0.080045655,2.1370864,0.0618176,0.31525,0.07801402,-1,-1,-1,-1
72,1.7961075,0.06454103,0.71015626,0.08009622,2.1330698,0.060270373,0.32125,0.07665874,-1,-1,-1,-1
73,1.7951413,0.065551795,0.712625,0.081953585,2.1399643,0.059341002,0.31175,0.0794477,-1,-1,-1,-1
74,1.7928267,0.06568366,0.71334374,0.08180741,2.1365058,0.06036748,0.312625,0.07833711,-1,-1,-1,-1
75,1.7953682,0.064836934,0.7109375,0.081006244,2.139342,0.058302633,0.31275,0.08023364,-1,-1,-1,-1
76,1.7953728,0.06283918,0.712875,0.07866474,2.1325874,0.06598125,0.31975,0.0912702,-1,-1,-1,-1
77,1.7969533,0.06274965,0.711,0.07888689,2.1382616,0.058578372,0.310125,0.078500494,-1,-1,-1,-1
78,1.794063,0.06589005,0.71353126,0.0817121,2.1405625,0.05918993,0.312,0.07940049,-1,-1,-1,-1
79,1.7976669,0.06389784,0.70934373,0.08343457,2.1432652,0.057008654,0.306875,0.08045039,-1,-1,-1,-1
80,1.7987331,0.06316697,0.7097812,0.07909789,2.1398594,0.06691782,0.309625,0.08876065,-1,-1,-1,-1
81,1.7950137,0.06265418,0.71128124,0.079855084,2.1408355,0.05964872,0.308125,0.07806498,-1,-1,-1,-1
82,1.7954389,0.06442194,0.7125625,0.08125478,2.1384933,0.05680685,0.313,0.07598149,-1,-1,-1,-1
83,1.795302,0.06494772,0.71190625,0.08000878,2.1419911,0.062524185,0.31225,0.08158547,-1,-1,-1,-1
84,1.7997967,0.062733114,0.7050625,0.07980785,2.1351757,0.056057308,0.319625,0.07806257,-1,-1,-1,-1
85,1.7903013,0.06513461,0.718125,0.0799145,2.1453934,0.05847437,0.304,0.08022196,-1,-1,-1,-1
86,1.793884,0.063300975,0.7113125,0.08021794,2.133257,0.059468254,0.321375,0.08279389,-1,-1,-1,-1
87,1.7959377,0.06460068,0.7099375,0.081336945,2.1383502,0.057566445,0.312625,0.07631646,-1,-1,-1,-1
88,1.7980068,0.06487172,0.70853126,0.081202336,2.1346095,0.05866928,0.32075,0.08217207,-1,-1,-1,-1
89,1.798601,0.064034775,0.705875,0.07918195,2.1368582,0.05894326,0.314875,0.08017451,-1,-1,-1,-1
90,1.7981637,0.064579494,0.71059376,0.08120719,2.1415658,0.06593863,0.308125,0.087368205,-1,-1,-1,-1
91,1.7989595,0.06365899,0.708,0.07915363,2.1337008,0.06490979,0.319375,0.08818704,-1,-1,-1,-1
92,1.798824,0.06499188,0.7076875,0.083131365,2.1375344,0.060153257,0.311375,0.081410326,-1,-1,-1,-1
93,1.7980298,0.06404945,0.70846874,0.08247134,2.1369278,0.057288405,0.311,0.076684825,-1,-1,-1,-1
94,1.7993573,0.062065985,0.70575,0.077364706,2.1327422,0.059163507,0.32425,0.07852786,-1,-1,-1,-1
95,1.7965451,0.062056895,0.7098125,0.07668806,2.1390293,0.065025106,0.3145,0.0883215,-1,-1,-1,-1
96,1.7959532,0.06488225,0.71059376,0.0817107,2.138179,0.061511267,0.309625,0.08122317,-1,-1,-1,-1
97,1.7958847,0.061351284,0.7108125,0.07749423,2.1346965,0.06384607,0.316,0.083732836,-1,-1,-1,-1
98,1.7980392,0.06566189,0.7081562,0.08000293,2.1342123,0.0665091,0.320125,0.08565273,-1,-1,-1,-1
99,1.7987972,0.06486613,0.708375,0.08036644,2.1364365,0.06371173,0.312,0.08153641,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,2.1514428,0.059946984,0.2945,0.077587046
