epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,7.01761739485,0.0120967741935,5.08200234226,0.0153579059829,-1,-1
1,5.56664080774,0.0322580645161,5.70844044237,0.0102831196581,-1,-1
2,5.14947868163,0.0534274193548,5.76288305389,0.0112179487179,-1,-1
3,4.89589578875,0.0665322580645,5.80866542637,0.0105502136752,-1,-1
4,4.73956641843,0.0745967741935,6.17882088107,0.0118856837607,-1,-1
5,5.00154059933,0.0745967741935,6.09284061041,0.0120192307692,-1,-1
6,4.45654513759,0.100806451613,6.31084637357,0.0164262820513,-1,-1
7,4.38358966766,0.102822580645,5.92096407597,0.0138888888889,-1,-1
8,4.21150515156,0.139112903226,6.17718404582,0.0189636752137,-1,-1
9,3.97953089591,0.153225806452,6.38749988059,0.0231036324786,-1,-1
10,3.80046531462,0.171370967742,5.30831495921,0.0355235042735,-1,-1
11,3.77495741075,0.195564516129,5.62566499221,0.0305822649573,-1,-1
12,3.53847653635,0.220766129032,5.20192552632,0.041266025641,-1,-1
13,3.4537244766,0.221774193548,5.09210238905,0.0552884615385,-1,-1
14,3.16526707526,0.277217741935,5.2032104537,0.0571581196581,-1,-1
15,2.96868701135,0.279233870968,5.15521819775,0.0711805555556,-1,-1
16,2.78761064622,0.308467741935,4.98255881794,0.0889423076923,-1,-1
17,2.53602832748,0.365927419355,4.91700117099,0.103766025641,-1,-1
18,2.3164309417,0.38810483871,5.19490236706,0.106036324786,-1,-1
19,2.21254789445,0.430443548387,5.1516882008,0.111912393162,-1,-1
20,1.93709701492,0.5,5.13667034797,0.121260683761,-1,-1
21,1.85949825471,0.493951612903,5.32770200978,0.115117521368,-1,-1
22,1.63222278703,0.568548387097,5.21359270047,0.11485042735,-1,-1
23,1.509313518,0.5625,5.60382070603,0.125267094017,-1,-1
24,1.31820253788,0.620967741935,5.42930088492,0.130876068376,-1,-1
25,1.17568663724,0.644153225806,5.79261210026,0.138488247863,-1,-1
26,1.05886879659,0.696572580645,5.73562147577,0.133947649573,-1,-1
27,0.835950524576,0.753024193548,5.71791252316,0.141292735043,-1,-1
28,0.863278727378,0.739919354839,6.02826055706,0.141426282051,-1,-1
29,0.777007998959,0.780241935484,5.85319465755,0.136217948718,-1,-1
30,0.599781891992,0.815524193548,5.91386263187,0.139022435897,-1,-1
31,0.615666062601,0.840725806452,5.7385669967,0.138621794872,-1,-1
32,0.547247482884,0.83064516129,6.14533164053,0.138087606838,-1,-1
33,0.499752620055,0.857862903226,5.7135688688,0.129273504274,-1,-1
34,0.499662305559,0.857862903226,5.91712508242,0.141693376068,-1,-1
35,0.497060682504,0.848790322581,6.15189299013,0.13969017094,-1,-1
36,0.401463297586,0.892137096774,5.95959356707,0.134882478632,-1,-1
37,0.405750310229,0.889112903226,6.31013816646,0.132077991453,-1,-1
38,0.397347903059,0.892137096774,6.11989551324,0.133814102564,-1,-1
39,0.298656573459,0.911290322581,6.13090103304,0.14249465812,-1,-1
40,0.234738665483,0.941532258065,6.10202993287,0.144497863248,-1,-1
41,0.235774248478,0.92439516129,6.20521887347,0.140892094017,-1,-1
42,0.235355846824,0.927419354839,6.02959693395,0.155448717949,-1,-1
43,0.212615358493,0.9375,6.04463508394,0.141826923077,-1,-1
44,0.25279212719,0.928427419355,5.91927245234,0.145833333333,-1,-1
