epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,4.15975158401,0.105727597892,5.15164988616,0.0587284482759,-1,-1
1,3.47623674769,0.198042168675,3.14990803702,0.24771012931,-1,-1
2,3.08766065233,0.260942206325,3.05167730923,0.313846982759,-1,-1
3,2.79492943761,0.307723079819,2.54371701643,0.36099137931,-1,-1
4,2.54794188939,0.354339231928,2.44825180235,0.375269396552,-1,-1
5,2.37114530586,0.389166039157,2.30716605844,0.411503232759,-1,-1
6,2.21158720607,0.41898060994,2.30934038656,0.415140086207,-1,-1
7,2.09437752883,0.441618034639,2.14332137231,0.444369612069,-1,-1
8,1.97698579459,0.468020519578,2.08873197745,0.461476293103,-1,-1
9,1.87657221685,0.487575301205,2.06094318628,0.464035560345,-1,-1
10,1.80099816423,0.503670933735,2.07885503358,0.464574353448,-1,-1
11,1.71307379295,0.525178840361,1.92255920583,0.496363146552,-1,-1
12,1.6423202868,0.544098268072,2.13105647317,0.462688577586,-1,-1
13,1.56722404476,0.560264495482,1.89450813984,0.506734913793,-1,-1
14,1.49323541393,0.573630459337,2.02007303567,0.482489224138,-1,-1
15,1.43084996041,0.592079254518,1.94695769918,0.510506465517,-1,-1
16,1.38583623681,0.601703689759,1.87079272394,0.525996767241,-1,-1
17,1.32013291246,0.61812876506,1.8400800187,0.526535560345,-1,-1
18,1.28046511778,0.625258847892,1.91680503097,0.513065732759,-1,-1
19,1.22293997547,0.641942771084,1.9249728692,0.520743534483,-1,-1
20,1.18546072708,0.650178840361,1.8277609225,0.536907327586,-1,-1
21,1.12377485058,0.669427710843,1.9745377446,0.518184267241,-1,-1
22,1.09622513117,0.671733810241,1.85790037698,0.544854525862,-1,-1
23,1.04549451585,0.686535203313,1.85786388249,0.549703663793,-1,-1
24,1.019438826,0.691241528614,1.88100149919,0.538793103448,-1,-1
25,0.969622560833,0.704395707831,1.86214182089,0.543911637931,-1,-1
26,0.943535886795,0.710184487952,1.87108646179,0.544046336207,-1,-1
27,0.907360672592,0.721126694277,1.94924973825,0.541082974138,-1,-1
28,0.876978978156,0.729974585843,1.93105822391,0.547144396552,-1,-1
29,0.848811419075,0.737787085843,1.93050032237,0.551589439655,-1,-1
30,0.834434191865,0.740869728916,1.94884471441,0.542564655172,-1,-1
31,0.797383591353,0.751153049699,1.97336762116,0.533674568966,-1,-1
32,0.791282250939,0.750517695783,1.95107593413,0.553205818966,-1,-1
33,0.750901163702,0.766119164157,1.93814876367,0.547548491379,-1,-1
34,0.727511354868,0.770448983434,1.95410814779,0.554552801724,-1,-1
35,0.712313226996,0.774543486446,1.99059762626,0.558189655172,-1,-1
36,0.685628826629,0.783108998494,2.20598646279,0.526939655172,-1,-1
37,0.672176706145,0.787462349398,2.03268247021,0.555899784483,-1,-1
38,0.660480970449,0.790450865964,2.19590155626,0.528017241379,-1,-1
39,0.638711898532,0.795416039157,2.03125269865,0.557112068966,-1,-1
40,0.626017039799,0.799510542169,1.99494276581,0.555091594828,-1,-1
41,0.60160530942,0.808217243976,2.0505628257,0.556034482759,-1,-1
42,0.589499634343,0.809652673193,2.01753933882,0.556707974138,-1,-1
43,0.577627466924,0.814358998494,2.10037835508,0.552936422414,-1,-1
44,0.56336812675,0.817700489458,2.22553672462,0.539331896552,-1,-1
45,0.542286176549,0.826430722892,2.08742876505,0.555360991379,-1,-1
46,0.532886250281,0.828101468373,2.11304746003,0.551454741379,-1,-1
47,0.531866861126,0.82906626506,2.05711528556,0.565059267241,-1,-1
48,0.518792413355,0.834337349398,2.17564489718,0.550242456897,-1,-1
49,0.505697019398,0.836972891566,2.13137105005,0.55697737069,-1,-1
50,0.497301609222,0.838314194277,2.11387812064,0.558324353448,-1,-1
51,0.487507717841,0.841843938253,2.17746214209,0.557920258621,-1,-1
52,0.475040795259,0.844785391566,2.17925374261,0.558189655172,-1,-1
53,0.477176190769,0.845326618976,2.17928897101,0.555360991379,-1,-1
54,0.467006648072,0.85015060241,2.03957266438,0.568426724138,-1,-1
55,0.458211129015,0.850268260542,2.31009142152,0.520743534483,-1,-1
