epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,4.60625034499,0.100315323795,9.86486632248,0.022494612069,-1,-1
1,3.86264205625,0.194912462349,7.99799814718,0.100754310345,-1,-1
2,3.40113715666,0.262377635542,3.03404444662,0.281115301724,-1,-1
3,3.10254583014,0.320100715361,2.58736248674,0.34536637931,-1,-1
4,2.85935512221,0.355751129518,2.50828756957,0.370959051724,-1,-1
5,2.66431078279,0.404932228916,2.63288888849,0.35546875,-1,-1
6,2.51214684959,0.43258189006,2.82138018361,0.418238146552,-1,-1
7,2.32277335568,0.464631965361,3.18750613311,0.456627155172,-1,-1
8,2.11137308234,0.49265813253,1.94804691241,0.493265086207,-1,-1
9,1.96893468607,0.519413591867,2.11029963658,0.498787715517,-1,-1
10,1.83384386459,0.538850715361,1.87839138508,0.523572198276,-1,-1
11,1.71303300254,0.561935240964,2.02222764287,0.528825431034,-1,-1
12,1.58884489213,0.586549322289,2.10684670045,0.52572737069,-1,-1
13,1.48219959851,0.602244917169,1.78949659446,0.537311422414,-1,-1
14,1.36490929252,0.621870293675,1.81209239672,0.534752155172,-1,-1
15,1.24968043257,0.641542733434,1.77310559667,0.555495689655,-1,-1
16,1.14909934351,0.666768637048,1.73298327882,0.562904094828,-1,-1
17,1.07044889607,0.683170180723,1.86253316032,0.540140086207,-1,-1
18,0.983301676181,0.704395707831,1.70702423721,0.564924568966,-1,-1
19,0.910193698234,0.72272684488,1.70156771561,0.576912715517,-1,-1
20,0.841812568257,0.743952371988,1.73123168945,0.579471982759,-1,-1
21,0.79123276122,0.756541792169,1.7290482295,0.568830818966,-1,-1
22,0.751226801021,0.766660391566,1.80586564335,0.565598060345,-1,-1
23,0.691584185843,0.783767884036,1.79080138535,0.578125,-1,-1
24,0.662500723119,0.791062688253,1.9640908344,0.550242456897,-1,-1
25,0.624613823033,0.802122552711,1.92156670217,0.566810344828,-1,-1
26,0.59280926447,0.812382341867,1.91249669626,0.572198275862,-1,-1
27,0.558642594839,0.822030308735,1.88570862186,0.5703125,-1,-1
28,0.530012461974,0.832243034639,1.89887890528,0.583917025862,-1,-1
29,0.51048785493,0.837443524096,1.91904998031,0.574757543103,-1,-1
30,0.49156424861,0.840973268072,1.95115838174,0.573275862069,-1,-1
31,0.464601524084,0.850574171687,1.90341095267,0.573545258621,-1,-1
32,0.451393924968,0.854809864458,1.95358342549,0.580145474138,-1,-1
33,0.434850332294,0.861022213855,2.03012366747,0.569908405172,-1,-1
34,0.414642228195,0.865046121988,2.0425728765,0.579471982759,-1,-1
35,0.400047759245,0.870858433735,2.17014708601,0.572198275862,-1,-1
36,0.39641330445,0.871752635542,2.01789752163,0.577990301724,-1,-1
