epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,5.44976447936,0.0543815888554,6.38358050379,0.01953125,-1,-1
1,4.32566351991,0.128600338855,3.74363851547,0.146417025862,-1,-1
2,4.10961531013,0.162250564759,4.23996857939,0.191810344828,-1,-1
3,3.80671302813,0.196065512048,3.5231093826,0.236934267241,-1,-1
4,3.52559563051,0.237081137048,3.3194332205,0.27114762931,-1,-1
5,3.27444824828,0.272566829819,3.26658195874,0.313712284483,-1,-1
6,3.05642285045,0.303110881024,2.91052609477,0.317483836207,-1,-1
7,3.0291485729,0.317300451807,2.61421569462,0.342268318966,-1,-1
8,2.83117020705,0.34967996988,2.77452256351,0.377559267241,-1,-1
9,2.69917739946,0.370128953313,3.06452532472,0.413389008621,-1,-1
10,2.62387961221,0.381235881024,3.2487519404,0.312634698276,-1,-1
11,2.5284518402,0.399684676205,2.31507534816,0.412715517241,-1,-1
12,2.42915496733,0.413850715361,2.31700388111,0.468076508621,-1,-1
13,2.34654242626,0.426910768072,1.98921662364,0.466864224138,-1,-1
14,2.28519265695,0.442535768072,2.23776916183,0.434536637931,-1,-1
15,2.1786908414,0.455031061747,1.99385821203,0.489089439655,-1,-1
16,2.11698657633,0.464867281627,1.87318686165,0.511584051724,-1,-1
17,2.04494135567,0.481127635542,1.86848100506,0.514412715517,-1,-1
18,1.97042128623,0.487598832831,1.90642786232,0.497036637931,-1,-1
19,1.90245249472,0.499082266566,1.89628965279,0.511179956897,-1,-1
20,1.8510204155,0.50969503012,1.8182794164,0.512661637931,-1,-1
21,1.78400691985,0.520754894578,1.75268115463,0.532192887931,-1,-1
22,1.73786518875,0.529438064759,1.7444873555,0.538658405172,-1,-1
23,1.67022770284,0.541274472892,1.68108199794,0.546470905172,-1,-1
24,1.62721359083,0.550616528614,1.64854048449,0.555630387931,-1,-1
25,1.5806308184,0.557676016566,1.65714671694,0.550242456897,-1,-1
26,1.53403056386,0.568147590361,1.5674029116,0.571390086207,-1,-1
27,1.49116875824,0.577230798193,1.62706258379,0.563712284483,-1,-1
28,1.44755511255,0.590196724398,1.59512947757,0.568426724138,-1,-1
29,1.42034701841,0.59422063253,1.60080184813,0.57260237069,-1,-1
30,1.39216517469,0.601209525602,1.58760659859,0.575161637931,-1,-1
31,1.35917264044,0.606645331325,1.52773684674,0.587149784483,-1,-1
32,1.31794713096,0.620505459337,1.55370599031,0.5859375,-1,-1
33,1.30792229201,0.621987951807,1.52272883982,0.587149784483,-1,-1
34,1.2769600898,0.630412274096,1.51153155442,0.587419181034,-1,-1
35,1.24285080975,0.634953878012,1.56214261466,0.582974137931,-1,-1
36,1.22461591571,0.639448418675,1.53263144246,0.585802801724,-1,-1
37,1.20365493484,0.647472703313,1.5225235121,0.590786637931,-1,-1
38,1.18881798078,0.648861069277,1.57522650012,0.584455818966,-1,-1
39,1.16169887925,0.65375564759,1.46616766782,0.600619612069,-1,-1
40,1.13773554958,0.663544804217,1.49713859476,0.601427801724,-1,-1
41,1.12220573784,0.669592432229,1.51317774427,0.59927262931,-1,-1
42,1.10413494724,0.671263177711,1.61514351697,0.584051724138,-1,-1
43,1.07609353116,0.680111069277,1.48651195806,0.598329741379,-1,-1
44,1.05892090499,0.681805346386,1.67991127433,0.563846982759,-1,-1
45,1.04795411516,0.686746987952,1.54468762875,0.588766163793,-1,-1
46,1.02567713753,0.691217996988,1.54384835013,0.594019396552,-1,-1
47,1.01968367128,0.693782944277,1.49185247976,0.601293103448,-1,-1
48,0.996584345598,0.701924887048,1.52624408336,0.601293103448,-1,-1
49,0.974948559719,0.706607680723,1.56830203944,0.600754310345,-1,-1
50,0.957375838634,0.710843373494,1.50206671912,0.606815732759,-1,-1
51,0.94711086513,0.711596385542,1.44639526153,0.621228448276,-1,-1
52,0.941662671336,0.71383189006,1.57450935553,0.601023706897,-1,-1
53,0.926985784827,0.716843938253,1.56169247011,0.600080818966,-1,-1
54,0.911678361965,0.721432605422,1.48816804228,0.612068965517,-1,-1
55,0.905839080013,0.723032756024,1.49189877716,0.613954741379,-1,-1
56,0.886930220457,0.729668674699,1.50556585295,0.616783405172,-1,-1
57,0.870716127646,0.734022025602,1.46850462412,0.617456896552,-1,-1
58,0.867930428091,0.733080760542,1.53620378724,0.608701508621,-1,-1
59,0.852684363184,0.734751506024,1.44518510843,0.622844827586,-1,-1
60,0.831117788532,0.744893637048,1.52116256952,0.612877155172,-1,-1
61,0.823542651642,0.744987763554,1.4825828692,0.621228448276,-1,-1
62,0.808436174888,0.749882341867,1.53699568017,0.609779094828,-1,-1
63,0.809469105788,0.746517319277,1.5175654621,0.613011853448,-1,-1
64,0.798164176743,0.752941453313,1.48484669677,0.62728987069,-1,-1
65,0.786561808852,0.754894578313,1.48419308868,0.618938577586,-1,-1
66,0.775681587497,0.759106739458,1.52134247895,0.612742456897,-1,-1
67,0.75899105546,0.76266001506,1.47764562738,0.623518318966,-1,-1
68,0.753646386855,0.764754329819,1.52292646827,0.61880387931,-1,-1
