epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,5.48457811252,0.0528520331325,5.19962831201,0.0202047413793,-1,-1
1,4.51352037148,0.100103539157,4.6925977674,0.0521282327586,-1,-1
2,3.94884870067,0.129729856928,3.58922132541,0.159482758621,-1,-1
3,3.37215658843,0.18898249247,3.27728959199,0.214035560345,-1,-1
4,3.19665951614,0.219997176205,3.08104330096,0.247844827586,-1,-1
5,2.98484674491,0.256824171687,2.81822627166,0.289331896552,-1,-1
6,2.81043955432,0.286615210843,2.59869919152,0.341190732759,-1,-1
7,2.69242904057,0.31148814006,2.63071998646,0.328798491379,-1,-1
8,2.57720613623,0.331819465361,2.50252393607,0.352505387931,-1,-1
9,2.48936127611,0.353021460843,2.33952126832,0.382408405172,-1,-1
10,2.43394328385,0.360010353916,2.31452957104,0.397629310345,-1,-1
11,2.3985729652,0.369375941265,2.31387965844,0.394800646552,-1,-1
12,2.36532313745,0.376317771084,2.31723121939,0.394665948276,-1,-1
13,2.2781734524,0.39641378012,2.34246723816,0.393453663793,-1,-1
14,2.22283596554,0.404955760542,2.15827112362,0.427667025862,-1,-1
15,2.17785004966,0.418674698795,2.12990923586,0.430091594828,-1,-1
16,2.13589095315,0.426581325301,2.14075068153,0.432785560345,-1,-1
17,2.10268810858,0.434770331325,2.24275914965,0.410290948276,-1,-1
18,2.09040162075,0.435382153614,1.99345080606,0.46713362069,-1,-1
19,2.04453392955,0.447971573795,1.92061066216,0.487068965517,-1,-1
20,2.01460263169,0.453125,2.24089045155,0.414331896552,-1,-1
21,2.01611873831,0.452866152108,1.99399501291,0.460533405172,-1,-1
22,1.97558182083,0.460184487952,2.19786157896,0.428475215517,-1,-1
23,1.94641715755,0.467408697289,2.20384852845,0.42739762931,-1,-1
24,1.93255327839,0.46867940512,1.9105568446,0.483836206897,-1,-1
25,1.90082785056,0.474232868976,1.92189718732,0.485452586207,-1,-1
26,1.87460212284,0.482468938253,2.0680394892,0.450700431034,-1,-1
27,1.8655284934,0.483763177711,1.89779272162,0.490705818966,-1,-1
28,1.83872934386,0.490257906627,2.06587861119,0.459455818966,-1,-1
29,1.81319643647,0.49710560994,1.96100394479,0.475080818966,-1,-1
30,1.8123641962,0.498070406627,1.8120303524,0.50942887931,-1,-1
31,1.78735959243,0.504800451807,2.0779792502,0.459186422414,-1,-1
32,1.79110440289,0.503247364458,2.06674836216,0.463362068966,-1,-1
33,1.76779515162,0.505129894578,1.80141646903,0.513065732759,-1,-1
34,1.72768061132,0.518001694277,1.77828793485,0.516433189655,-1,-1
35,1.72064093007,0.519037085843,1.81801294458,0.508755387931,-1,-1
36,1.71355673958,0.519625376506,1.92699057069,0.493938577586,-1,-1
37,1.70312204921,0.522660956325,2.08627196427,0.456761853448,-1,-1
38,1.68130216254,0.528402673193,2.04752429395,0.465921336207,-1,-1
39,1.68626465209,0.524425828313,1.78095997819,0.52182112069,-1,-1
40,1.67057197388,0.529108621988,1.76905290423,0.525457974138,-1,-1
41,1.67160550658,0.533579631024,1.72156260137,0.536907327586,-1,-1
42,1.6431444492,0.537980045181,1.69108973495,0.539870689655,-1,-1
43,1.62354295261,0.543862951807,1.80605082471,0.515355603448,-1,-1
44,1.62838502964,0.542662838855,1.84396242068,0.504445043103,-1,-1
45,1.61549776074,0.543321724398,1.78995711639,0.519665948276,-1,-1
46,1.60502796791,0.544192394578,2.01165138647,0.467672413793,-1,-1
47,1.62605500903,0.541392131024,1.91411159984,0.489762931034,-1,-1
48,1.57580646944,0.553440323795,2.1698754101,0.440193965517,-1,-1
49,1.56024271501,0.555322853916,1.69111788273,0.549030172414,-1,-1
50,1.55402804642,0.55960560994,1.7618385615,0.525457974138,-1,-1
51,1.52999548022,0.565017884036,1.67545386224,0.54067887931,-1,-1
52,1.52154639758,0.563347138554,1.88707869628,0.503232758621,-1,-1
53,1.5158938489,0.564100150602,1.75575209281,0.534213362069,-1,-1
54,1.51019390951,0.56883000753,1.73971923261,0.530172413793,-1,-1
55,1.49867884725,0.570124246988,1.72997971239,0.53125,-1,-1
56,1.48683009665,0.571559676205,1.72085561218,0.540948275862,-1,-1
57,1.47689219986,0.576807228916,1.75728909928,0.526400862069,-1,-1
58,1.47388034341,0.577536709337,1.64717759757,0.559671336207,-1,-1
59,1.46503167734,0.576077748494,1.81780301908,0.515086206897,-1,-1
60,1.44211098408,0.583325489458,1.75806330812,0.53125,-1,-1
61,1.442603382,0.586314006024,1.94215893745,0.502693965517,-1,-1
62,1.42512984089,0.587231739458,1.7351191681,0.536637931034,-1,-1
63,1.41539161661,0.588243599398,1.66717952079,0.546875,-1,-1
64,1.4122103643,0.591702748494,1.74789778734,0.534886853448,-1,-1
65,1.42463391624,0.587161144578,1.88261129116,0.50552262931,-1,-1
66,1.38482979515,0.596056099398,1.73768471849,0.537715517241,-1,-1
67,1.37388075619,0.600668298193,1.64981808539,0.557516163793,-1,-1
68,1.36349106733,0.602927334337,1.78595840314,0.52505387931,-1,-1
69,1.35752767684,0.605186370482,1.69421116443,0.545662715517,-1,-1
70,1.35098042294,0.606527673193,1.69012153149,0.549030172414,-1,-1
71,1.3487037993,0.607916039157,1.70505257927,0.55697737069,-1,-1
72,1.31864401967,0.616505082831,1.64470396165,0.5625,-1,-1
73,1.31531174499,0.613775414157,1.61862899723,0.569504310345,-1,-1
74,1.33997351703,0.610951618976,1.72990934602,0.547009698276,-1,-1
75,1.30036679862,0.618928840361,1.70704383275,0.543238146552,-1,-1
